"PlantID"	"PlantName"	"Year"	"PhaseI"	"Energy"	"SO2"	"NOX"	"Capital"	"Labor"	"CoalHeat"	"OilHeat"	"GasHeat"	"NetCons"	"GrossCons"	"PolYr"
"3130"	"                Seward"	"85"	"0"	" 3.2272137"	"  43.095425"	" 12.5628493"	"105.60489"	"106"	" 10.7169940"	"0.1202696025"	"0.000000e+00"	"  7.6100499"	" 10.8372636"	"0"
"3131"	"             Shawville"	"85"	"1"	"10.7706082"	" 171.332877"	" 40.4251233"	"184.08894"	"143"	" 32.2768071"	"0.1995086133"	"0.000000e+00"	" 21.7057075"	" 32.4763157"	"0"
"3138"	"            New Castle"	"85"	"0"	" 4.8566630"	"  64.777589"	" 25.8667123"	"138.26055"	"173"	" 16.5250044"	"0.0405801587"	"0.000000e+00"	" 11.7089216"	" 16.5655846"	"0"
"3140"	"        Brunner Island"	"85"	"1"	"24.4873014"	" 353.278603"	" 74.3278630"	"282.20138"	"211"	" 72.4962501"	"0.4213799552"	"0.000000e+00"	" 48.4303287"	" 72.9176301"	"0"
"3149"	"               Montour"	"85"	"0"	"26.7232740"	" 285.226247"	" 75.6027945"	"284.97434"	"194"	" 74.5129278"	"0.4322161124"	"0.000000e+00"	" 48.2218699"	" 74.9451439"	"0"
"3178"	"             Armstrong"	"85"	"1"	" 6.0509699"	"  84.846630"	" 27.3619726"	" 87.66356"	" 84"	" 18.1929772"	"0.0224201449"	"0.000000e+00"	" 12.1644275"	" 18.2153974"	"0"
"3297"	"             Watertree"	"85"	"0"	" 8.5838904"	"  81.869014"	" 37.0957534"	"125.65909"	" 89"	" 25.1185421"	"0.2242829543"	"0.000000e+00"	" 16.7589347"	" 25.3428251"	"0"
"3497"	"             Big Brown"	"85"	"0"	"17.3444822"	" 110.627288"	" 47.9413973"	"173.17663"	"256"	" 55.9724823"	"0.0000000000"	"4.488188e-01"	" 39.0768189"	" 56.4213011"	"0"
"3644"	"                Carbon"	"85"	"0"	" 1.3392575"	"   6.978356"	"  5.0247123"	" 55.82555"	"108"	"  4.6159461"	"0.0236072524"	"0.000000e+00"	"  3.3002959"	"  4.6395534"	"0"
"3775"	"          Clinch River"	"85"	"0"	" 9.8917781"	"  50.644027"	" 39.6374795"	"163.30996"	"174"	" 27.3677512"	"0.0352593976"	"0.000000e+00"	" 17.5112325"	" 27.4030106"	"0"
"3776"	"              Glen Lyn"	"85"	"0"	" 3.6104329"	"  25.261945"	" 15.8390137"	"132.18575"	"131"	" 10.5433041"	"0.1662658450"	"0.000000e+00"	"  7.0991370"	" 10.7095699"	"0"
"3788"	"         Potomac River"	"85"	"0"	" 6.5542384"	"  42.711863"	" 20.5193151"	"176.45413"	"206"	" 20.6514156"	"0.1736215714"	"0.000000e+00"	" 14.2707988"	" 20.8250372"	"0"
"3796"	"                 Bremo"	"85"	"0"	" 2.8999452"	"  19.924027"	" 13.3431507"	" 86.83131"	"131"	"  8.8629093"	"0.0566574058"	"0.000000e+00"	"  6.0196215"	"  8.9195667"	"0"
"3936"	"         Kanawha River"	"85"	"0"	" 3.7761644"	"  23.000849"	" 17.6314247"	"133.05676"	"132"	" 10.7976280"	"0.0247207728"	"0.000000e+00"	"  7.0461844"	" 10.8223488"	"0"
"3945"	"            Rivesville"	"85"	"0"	" 1.0900849"	"  10.641452"	"  6.0981370"	" 77.63645"	" 83"	"  4.0848360"	"0.0152165604"	"0.000000e+00"	"  3.0099676"	"  4.1000525"	"0"
"3946"	"         Willow Island"	"85"	"0"	" 2.4756986"	"  26.240356"	" 16.8337260"	" 82.34922"	" 80"	"  7.8937907"	"0.0180696655"	"0.000000e+00"	"  5.4361617"	"  7.9118603"	"0"
"3947"	"                Kammer"	"85"	"1"	"12.7190027"	" 420.909425"	" 85.8539726"	"178.70289"	"247"	" 36.2272479"	"0.0145252018"	"0.000000e+00"	" 23.5227704"	" 36.2417731"	"0"
"3948"	"              Mitchell"	"85"	"1"	"23.1637644"	" 275.081973"	"103.7183288"	"334.68602"	"259"	" 66.5457451"	"0.2820378814"	"0.000000e+00"	" 43.6640186"	" 66.8277830"	"0"
"4054"	"          Nelson Dewey"	"85"	"1"	" 2.9435425"	"  68.547041"	" 24.4743836"	" 50.71235"	" 61"	"  8.8540767"	"0.0004756524"	"0.000000e+00"	"  5.9110099"	"  8.8545523"	"0"
"4072"	"               Pulliam"	"85"	"1"	" 2.8222740"	"  61.416027"	" 15.2686575"	"113.74215"	"160"	"  9.4790104"	"0.0753948193"	"0.000000e+00"	"  6.7321313"	"  9.5544052"	"0"
"4158"	"         Dave Johnston"	"85"	"0"	"13.3726658"	"  79.574740"	" 76.0295890"	"212.97840"	"308"	" 44.5260884"	"0.0871446074"	"0.000000e+00"	" 31.2405673"	" 44.6132330"	"0"
