fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Leon Shahbazyan,"6' 4""",170,74,Orthodox,18-Nov-95,6.33,0.52,8.18,0.32,0.68,1.46,0.50,0.00,1.00,0
Nadia Kassem,"5' 5""",125,66,Southpaw,15-Nov-95,3.13,0.41,4.48,0.48,0.52,0.46,0.33,0.40,0.60,2.8
Lara Procopio,"5' 4""",125,67,Orthodox,14-Nov-95,6.7,0.57,6.93,0.47,0.53,3.5,0.50,0.00,1.00,0.5
Veronica Macedo,"5' 4""",125,64,Southpaw,30-Oct-95,3.13,0.39,5.06,0.43,0.57,0.57,0.18,0.46,0.54,0.6
Raulian Paiva,"5' 8""",125,69,Orthodox,17-Oct-95,4.46,0.43,4.89,0.51,0.49,0.26,0.20,0.80,0.20,0.3
Matt Dixon,"5' 10""",170,75,Switch,9-Oct-95,1.97,0.43,4.56,0.37,0.63,3.06,0.30,0.00,1.00,0
Joselyne Edwards,"5' 8""",135,70,Orthodox,29-Sep-95,4.2,0.53,3.83,0.46,0.54,0.5,0.16,0.37,0.63,0.5
Aleksa Camur,"6' 1""",205,74,Orthodox,25-Sep-95,3.94,0.54,2.49,0.57,0.43,0.84,0.33,0.20,0.80,0
Rhys McKee,"6' 2""",170,78,Orthodox,10-Sep-95,6.83,0.53,11.9,0.43,0.57,0,0.00,0.20,0.80,0
Louis Cosce,"5' 9""",170,71,Orthodox,27-Aug-95,8.22,0.48,9.3,0.48,0.52,1.07,0.11,0.00,1.00,0
Jacob Malkoun,"5' 9""",185,73,Orthodox,26-Aug-95,0,0.00,23.33,0.36,0.64,0,0.00,0.00,1.00,0
Nasrat Haqparast,"5' 10""",155,72,Southpaw,22-Aug-95,5.81,0.47,3.23,0.74,0.26,0.18,0.16,0.84,0.16,0
Alex Gorgees,"6' 2""",155,74,Switch,11-Aug-95,0.67,0.32,2.27,0.38,0.62,0,0.00,0.54,0.46,0
Ricardo Ramos,"5' 9""",145,72,Orthodox,1-Aug-95,3,0.39,3.28,0.58,0.42,1.99,0.56,0.71,0.29,0.7
