fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Chad Reiner,"5' 11""",170,,Orthodox,29-Jun-81,0.53,0.20,1.97,0.46,0.54,0.99,0.33,0.25,0.75,2
Mike Whitehead,"6' 1""",205,,Orthodox,29-Jun-81,1.62,0.33,2.36,0.59,0.41,3.59,0.43,0.77,0.23,0.3
Luciano Azevedo,"6' 3""",161,,Orthodox,25-Jun-81,0.76,0.45,1.97,0.27,0.73,2.28,0.11,0.00,1.00,0
Carlo Prater,"5' 11""",155,72,Switch,25-Jun-81,2.03,0.47,4.07,0.35,0.65,0.43,0.09,0.57,0.43,1.7
Junior Assuncao,"5' 9""",145,72,Orthodox,24-Jun-81,3.31,0.62,2.06,0.44,0.56,2.43,0.24,0.66,0.34,0.7
Marcos Galvao,"5' 7""",135,,Orthodox,23-Jun-81,1.97,0.32,3.86,0.61,0.39,2.27,0.28,0.88,0.12,1.1
Nick Thompson,"6' 1""",170,74,Orthodox,23-Jun-81,1.87,0.42,1.8,0.49,0.51,1.06,1.00,0.35,0.65,2.6
John Polakowski,"5' 10""",155,,Orthodox,21-Jun-81,2.6,0.26,2.83,0.50,0.50,0,0.00,0.87,0.13,0.7
Kengo Ura,"5' 9""",165,,,20-Jun-81,1.05,0.37,2.38,0.48,0.52,2.85,0.28,0.50,0.50,1.4
Kevin Casey,"5' 11""",185,77,Southpaw,15-Jun-81,2.27,0.53,3.76,0.46,0.54,0.79,0.22,0.27,0.73,0.4
Nordine Taleb,"6' 1""",170,74,Orthodox,10-Jun-81,3.66,0.51,2.62,0.66,0.34,1.94,0.76,0.73,0.27,0
Tonya Evinger,"5' 7""",135,70,Orthodox,4-Jun-81,1.16,0.42,4.02,0.38,0.62,0.93,0.30,0.33,0.67,0.9
Tatsuya Mizuno,"6' 1""",205,,Southpaw,2-Jun-81,2.25,0.37,3.52,0.53,0.47,1.19,0.25,0.40,0.60,3.6
Matt Veach,"5' 11""",155,,Orthodox,31-May-81,1.12,0.28,4.91,0.44,0.56,3.64,0.38,1.00,0.00,1.5
Chris Cariaso,"5' 3""",125,64,Southpaw,27-May-81,3.35,0.43,2.23,0.61,0.39,1.11,0.39,0.57,0.43,0.8
Brandon Sene,"5' 11""",205,,,21-May-81,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Jason Day,"6' 0""",185,72,Orthodox,19-May-81,3.61,0.54,3.46,0.47,0.53,1.13,1.00,0.00,1.00,0
Georges St-Pierre,"5' 11""",185,76,Orthodox,19-May-81,3.78,0.53,1.4,0.72,0.28,4.16,0.74,0.83,0.17,1.1
Travis Galbraith,"6' 0""",170,,Orthodox,18-May-81,2.21,0.40,3.45,0.48,0.52,1.33,0.25,0.00,1.00,1.3
Manvel Gamburyan,"5' 5""",135,67,Orthodox,8-May-81,2.13,0.41,2.83,0.55,0.45,3.26,0.34,0.69,0.31,0.7
Jesse Juarez,"6' 1""",170,,Orthodox,8-May-81,1.71,0.48,2.87,0.52,0.48,2.69,0.33,0.50,0.50,0
Mizuto Hirota,"5' 7""",155,67,Orthodox,5-May-81,3.36,0.40,3.5,0.54,0.46,1.36,0.50,0.58,0.42,0.1
Steve Steinbeiss,"6' 3""",185,75,Orthodox,5-May-81,3.92,0.55,1.86,0.49,0.51,0.44,0.50,0.58,0.42,0
Kiichi Kunimoto,"5' 10""",170,71,Orthodox,1-May-81,1.87,0.44,3.92,0.41,0.59,1.59,0.20,0.28,0.72,0.3
Nissen Osterneck,"6' 2""",185,,Orthodox,1-May-81,3.15,0.58,2.9,0.41,0.59,0.63,0.12,0.42,0.58,1.3
Brian Houston,"6' 2""",185,,Orthodox,26-Apr-81,1.9,0.35,3.67,0.53,0.47,0.95,1.00,0.87,0.13,0
Clifford Starks,"6' 0""",185,78,Orthodox,25-Apr-81,1.94,0.33,2.49,0.58,0.42,1.94,1.00,0.60,0.40,0
Luiz Cane,"6' 2""",185,77,Southpaw,24-Apr-81,4.79,0.41,5,0.60,0.40,0.56,0.28,1.00,0.00,0.3
Brandon Sayles,"6' 5""",265,,,23-Apr-81,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Antonio Mendes,"6' 3""",205,77,Southpaw,19-Apr-81,1.34,0.47,6.85,0.22,0.78,2.51,0.50,1.00,0.00,0
Jack May,"6' 8""",255,,Switch,14-Apr-81,1.52,0.38,3.29,0.33,0.67,0.91,0.33,0.20,0.80,0
Bernardo Magalhaes,"5' 9""",155,,Orthodox,8-Apr-81,1.8,0.27,3.37,0.68,0.32,0,0.00,0.00,1.00,0.5
Marloes Coenen,"5' 9""",145,67,,31-Mar-81,2.15,0.51,1.9,0.67,0.33,0.82,0.30,0.41,0.59,2.5
Noah Thomas,"5' 9""",135,,Orthodox,27-Mar-81,0.44,0.13,4.99,0.33,0.67,0,0.00,0.00,1.00,1.3
Booker DeRousse,"6' 2""",205,,,23-Mar-81,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Julie Kedzie,"5' 5""",135,,Orthodox,18-Mar-81,2.9,0.36,3.18,0.46,0.54,1.14,0.23,0.78,0.22,0
James Terry,"5' 10""",170,,Orthodox,16-Mar-81,3.23,0.32,4.77,0.64,0.36,3.31,0.36,0.75,0.25,0
Manny Tapia,"5' 5""",135,67,Orthodox,14-Mar-81,2.69,0.21,4.74,0.58,0.42,0.49,0.40,0.66,0.34,0.2
George Sullivan,"6' 0""",170,73,Orthodox,13-Mar-81,3.53,0.39,2.42,0.57,0.43,1.37,0.20,0.38,0.62,0.7
Maiquel Falcao,"5' 11""",185,,Orthodox,8-Mar-81,1.67,0.55,0.53,0.86,0.14,1,1.00,0.71,0.29,3
Nick Gonzalez,"5' 6""",155,,Orthodox,3-Mar-81,0.59,0.20,2.35,0.33,0.67,0,0.00,0.50,0.50,0
Jonatas Novaes,"5' 11""",170,,,2-Mar-81,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Chris Kelades,"5' 7""",125,68,Orthodox,21-Feb-81,2.4,0.43,2.64,0.48,0.52,1.04,0.18,0.53,0.47,0.3
Cody Donovan,"6' 3""",205,74,Orthodox,20-Feb-81,5.61,0.59,5.44,0.45,0.55,1.67,0.28,0.00,1.00,1.7
Ben Alloway,"5' 11""",170,76,Orthodox,19-Feb-81,1.28,0.49,1.9,0.59,0.41,0.62,0.50,0.26,0.74,0
Brett Rogers,"6' 5""",265,81,Orthodox,17-Feb-81,3.17,0.44,3.2,0.46,0.54,0,0.00,0.58,0.42,0
Charlie Brenneman,"5' 10""",155,70,Orthodox,9-Feb-81,1.52,0.56,1.55,0.46,0.54,4.23,0.42,0.72,0.28,0
Yaotzin Meza,"5' 9""",145,71,Orthodox,4-Feb-81,1.43,0.41,1.62,0.64,0.36,1.06,0.20,0.18,0.82,1.4
Maciej Jewtuszko,"6' 0""",155,,Southpaw,31-Jan-81,2.29,0.45,1.39,0.66,0.34,0,0.00,0.42,0.58,0.9
Rob Kimmons,"5' 10""",185,73,Orthodox,30-Jan-81,1.86,0.48,4.79,0.38,0.62,2.08,0.46,0.25,0.75,2.4
Tim Boetsch,"6' 0""",185,74,Orthodox,28-Jan-81,2.93,0.50,2.9,0.57,0.43,1.45,0.34,0.59,0.41,0.8
Carmelo Marrero,"6' 0""",205,73,Orthodox,26-Jan-81,0.84,0.34,2.04,0.54,0.46,3.21,0.36,0.36,0.64,0.9
Paulo Thiago,"5' 11""",170,74,Orthodox,25-Jan-81,1.71,0.39,1.99,0.63,0.37,1.42,0.31,0.63,0.37,1.2
Luigi Fioravanti,"5' 8""",170,70,Orthodox,22-Jan-81,2.23,0.42,2.21,0.69,0.31,3.76,0.63,0.67,0.33,0.9
Justin Guthrie,"6' 1""",170,,,19-Jan-81,0.16,0.33,3.74,0.14,0.86,2.44,0.25,0.00,1.00,4.9
Luis Ramos,"5' 8""",170,,Orthodox,18-Jan-81,2.4,0.35,5.6,0.42,0.58,1.5,0.20,1.00,0.00,0
Miguel Torres,"5' 9""",135,76,Orthodox,18-Jan-81,3.98,0.43,1.86,0.74,0.26,0,0.00,0.17,0.83,1.6
Cole Province,"5' 9""",145,68,Orthodox,17-Jan-81,1.47,0.44,2.72,0.43,0.57,2.4,0.50,0.83,0.17,1
Nobuhiro Obiya,"5' 8""",145,,Orthodox,15-Jan-81,0.63,0.28,2.53,0.55,0.45,0.5,0.50,0.41,0.59,0.5
Gisele Moreira,"5' 6""",135,,Orthodox,14-Jan-81,5.93,0.42,6.33,0.48,0.52,4,0.57,0.00,1.00,0
Muhammed Lawal,"6' 0""",205,78,Southpaw,11-Jan-81,3.79,0.52,1.61,0.66,0.34,5.96,0.75,0.87,0.13,0
Matt Brown,"6' 0""",170,75,Orthodox,10-Jan-81,3.69,0.54,2.67,0.55,0.45,1.56,0.44,0.63,0.37,1.4
Riki Fukuda,"6' 0""",185,73,Southpaw,6-Jan-81,4.24,0.43,3.71,0.64,0.36,2.17,0.43,0.70,0.30,0
Josh Rafferty,"6' 0""",170,,Orthodox,6-Jan-81,0.6,0.33,3.6,0.50,0.50,0,0.00,0.00,1.00,9
Trevor Smith,"6' 3""",185,75,Orthodox,5-Jan-81,3.29,0.55,3.31,0.51,0.49,1.7,0.32,0.60,0.40,0.7
Oron Kahlon,"5' 8""",145,,,3-Jan-81,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Ryan Larson,,170,,,30-Dec-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Josh Shockman,"6' 4""",235,,Southpaw,29-Dec-80,0.87,0.32,0.87,0.58,0.42,0,0.00,0.23,0.77,0
Jason Miller,"6' 1""",185,,Orthodox,24-Dec-80,1.83,0.43,2.3,0.49,0.51,1.31,0.28,0.43,0.57,1.3
Dan Barrera,"5' 9""",170,,Orthodox,23-Dec-80,0.8,0.70,1.2,0.28,0.72,1,0.08,0.00,1.00,0
James Reese,"5' 9""",155,,,21-Dec-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Shana Olsen,"5' 7""",145,,,17-Dec-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Charlie Ward,"5' 11""",170,,Orthodox,17-Dec-80,1.64,0.19,7.21,0.53,0.47,0,0.00,0.00,1.00,0
Sarah D'alelio,"5' 7""",145,,,13-Dec-80,2.4,0.33,0,1.00,0.00,0,0.00,1.00,0.00,0
Garett Whiteley,"6' 0""",155,72,Orthodox,13-Dec-80,3.72,0.48,4.04,0.46,0.54,0,0.00,0.27,0.73,0.9
Aaron Riley,"5' 8""",155,69,Southpaw,9-Dec-80,3.45,0.34,3.78,0.61,0.39,1.18,0.34,0.60,0.40,0.1
Vincent Eazelle,"5' 11""",155,,,7-Dec-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Igor Araujo,"6' 1""",170,77,Orthodox,6-Dec-80,1.52,0.42,2.86,0.49,0.51,0.86,0.15,0.22,0.78,0.6
Luke Caudillo,"5' 7""",155,,Orthodox,30-Nov-80,1.97,0.28,5.07,0.55,0.45,0.44,0.20,0.85,0.15,0
Brian Ebersole,"6' 0""",170,73,Southpaw,27-Nov-80,2.32,0.49,2.14,0.56,0.44,1.7,0.23,0.61,0.39,0.1
Dan Stittgen,"6' 1""",170,,Orthodox,17-Nov-80,2.97,0.46,4.42,0.37,0.63,0.78,1.00,1.00,0.00,0
Patrick Cummins,"6' 2""",205,76,Orthodox,16-Nov-80,4.26,0.50,3.35,0.55,0.45,4.49,0.41,0.28,0.72,0.1
John Hosman,"5' 10""",135,,Southpaw,13-Nov-80,1.11,0.38,1.52,0.45,0.55,0,0.00,0.46,0.54,0
Katsuaki Furuki,"6' 0""",168,,,10-Nov-80,0.27,0.10,2.67,0.39,0.61,0,0.00,0.00,1.00,3
Jonathan  Mix,"6' 0""",168,,,9-Nov-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Ivan Jorge,"5' 9""",155,73,Orthodox,7-Nov-80,3.41,0.49,2.91,0.59,0.41,1.56,0.16,0.75,0.25,0.6
Brian Geraghty,"5' 7""",155,,Orthodox,4-Nov-80,0.47,0.25,9.77,0.36,0.64,0,0.00,0.50,0.50,0
Mackens Semerzier,"5' 9""",145,72,Orthodox,3-Nov-80,2.91,0.45,3.48,0.46,0.54,2.14,0.50,0.50,0.50,2.1
Waylon Lowe,"5' 7""",145,,Southpaw,31-Oct-80,1.88,0.55,2.4,0.53,0.47,4.47,0.55,0.83,0.17,0.3
Hong Man Choi,"7' 2""",330,,Orthodox,30-Oct-80,1.32,0.26,1.46,0.36,0.64,0.71,1.00,0.84,0.16,0
LC Davis,"5' 8""",135,69,Southpaw,28-Oct-80,2.04,0.30,2.1,0.59,0.41,2.27,0.46,0.66,0.34,0.2
James McSweeney,"6' 4""",230,77,Switch,24-Oct-80,3.94,0.55,4.33,0.42,0.58,0.52,0.33,1.00,0.00,1.1
Henry Briones,"5' 8""",135,69,Orthodox,22-Oct-80,3.47,0.42,4.68,0.53,0.47,0,0.00,0.52,0.48,0.6
Rafael Rebello,"5' 5""",135,67,Orthodox,16-Oct-80,2.19,0.32,3.29,0.58,0.42,2.82,0.33,0.75,0.25,0.5
Doug Evans,"5' 9""",155,,Orthodox,10-Oct-80,1.79,0.35,2.55,0.55,0.45,3.19,0.83,0.69,0.31,0.6
Terry Martin,"5' 8""",185,71,Orthodox,10-Oct-80,2.82,0.43,3.13,0.54,0.46,3.1,0.42,0.92,0.08,0
Juan Espino,"6' 3""",250,80,,9-Oct-80,4.32,0.80,0.54,0.42,0.58,14.19,0.77,0.00,1.00,6.1
Jorge Santiago,"6' 1""",170,75,Orthodox,9-Oct-80,1.69,0.35,2.62,0.56,0.44,0.58,0.30,0.52,0.48,0.8
Billy Evangelista,"5' 8""",155,68,Orthodox,7-Oct-80,4.51,0.40,3.96,0.61,0.39,1.6,0.19,0.61,0.39,0.2
Clay French,"5' 7""",161,,Southpaw,7-Oct-80,1.52,0.50,1.27,0.16,0.84,0,0.00,1.00,0.00,0
Ed Herman,"6' 1""",205,77,Orthodox,2-Oct-80,3.32,0.49,3.35,0.43,0.57,2.21,0.48,0.60,0.40,1.2
Atsushi Yamamoto,"5' 6""",139,,Orthodox,2-Oct-80,1.97,0.39,1.27,0.70,0.30,1.12,0.33,1.00,0.00,0
Clay Harvison,"6' 1""",170,74,Orthodox,25-Sep-80,3.29,0.48,3.91,0.58,0.42,0.66,1.00,0.68,0.32,1.3
Josh Janousek,"5' 11""",185,,Orthodox,25-Sep-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Iliarde Santos,"5' 5""",125,67,Orthodox,25-Sep-80,3,0.30,6.1,0.57,0.43,1.66,0.23,0.83,0.17,0
Sara McMann,"5' 6""",135,66,Orthodox,24-Sep-80,2.32,0.45,1.94,0.48,0.52,4.41,0.65,0.50,0.50,0.5
Brian Stann,"6' 1""",205,74,Orthodox,24-Sep-80,3.28,0.42,2.65,0.59,0.41,0.12,0.12,0.60,0.40,0.3
Heather Clark,"5' 6""",115,64,Orthodox,19-Sep-80,3.69,0.49,5.62,0.50,0.50,0.33,0.04,0.80,0.20,0.3
David Hulett,"5' 10""",170,,,7-Sep-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Jacob Volkmann,"5' 9""",155,71,Southpaw,5-Sep-80,1.19,0.34,1.78,0.52,0.48,3.19,0.48,0.52,0.48,2
Mike Pierce,"5' 8""",170,71,Orthodox,1-Sep-80,2.62,0.42,2.36,0.62,0.38,3.08,0.42,0.71,0.29,0.2
Lionel Lanham,,205,,,31-Aug-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Jesse Bongfeldt,"6' 0""",185,,Orthodox,28-Aug-80,2.91,0.62,1.01,0.50,0.50,1.51,0.33,0.33,0.67,0
Amir Sadollah,"5' 10""",170,75,Orthodox,27-Aug-80,4.71,0.46,3.55,0.60,0.40,0.57,0.27,0.60,0.40,0.3
Sergei Kharitonov,"6' 0""",245,,Orthodox,18-Aug-80,3.9,0.44,3.03,0.54,0.46,1.16,0.53,0.70,0.30,1
Geronimo dos Santos,"6' 3""",264,,Orthodox,17-Aug-80,1.09,0.33,8.73,0.41,0.59,0,0.00,0.33,0.67,0
Ricardo Funch,"5' 10""",170,74,Southpaw,14-Aug-80,2.61,0.65,3.57,0.40,0.60,1.24,0.18,0.60,0.40,0
Yusuke Kawaguchi,"6' 0""",255,,,14-Aug-80,2.87,0.47,3.93,0.50,0.50,0,0.00,0.72,0.28,0
Frankie Saenz,"5' 6""",135,66,Orthodox,12-Aug-80,3.94,0.47,3.5,0.52,0.48,1.74,0.31,0.61,0.39,0.1
Shayna Baszler,"5' 7""",135,,Orthodox,8-Aug-80,2.49,0.30,6.36,0.51,0.49,0.67,0.18,0.44,0.56,1.3
Charles McCarthy,"5' 10""",185,71,Orthodox,6-Aug-80,0.18,0.12,4.03,0.56,0.44,2.67,0.60,0.00,1.00,2.7
Seth Dikun,"5' 10""",135,69,Orthodox,5-Aug-80,1.45,0.26,2.18,0.55,0.45,0,0.00,0.45,0.55,0.9
Daniel Roberts,"5' 10""",170,74,Southpaw,5-Aug-80,0.73,0.20,2.27,0.46,0.54,2.46,0.44,0.40,0.60,2.5
Iuri Alcantara,"5' 9""",135,71,Southpaw,4-Aug-80,2.72,0.45,2.79,0.49,0.51,1.44,0.62,0.60,0.40,0.8
Darryl Cobb,"5' 9""",185,,,4-Aug-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Marius Zaromskis,"5' 9""",170,,Orthodox,30-Jul-80,5.02,0.34,5.93,0.50,0.50,0.73,0.42,0.73,0.27,0
Justin Robbins,"5' 5""",135,,,29-Jul-80,0.67,0.37,3.2,0.47,0.53,0,0.00,0.00,1.00,0
Nate Loughran,"6' 2""",185,,Orthodox,28-Jul-80,1.81,0.40,4.11,0.59,0.41,0,0.00,0.00,1.00,2.1
Chris Leben,"5' 11""",185,73,Southpaw,21-Jul-80,2.87,0.42,2.87,0.52,0.48,1.14,0.41,0.53,0.47,0.8
Artenus Young,,205,,,16-Jul-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Lee Higgins,,155,,,14-Jul-80,1.02,0.26,3.68,0.40,0.60,0,0.00,0.00,1.00,0
Eliot Marshall,"6' 2""",205,77,Orthodox,7-Jul-80,1.93,0.27,2.39,0.67,0.33,0.47,0.33,0.79,0.21,0.9
Brodie Farber,"6' 1""",170,,Orthodox,5-Jul-80,1.69,0.45,2.17,0.53,0.47,0.9,0.50,0.20,0.80,0.9
Christian Colombo,"6' 5""",265,,Orthodox,1-Jul-80,2.76,0.44,4.02,0.42,0.58,0,0.00,0.33,0.67,0
Sam Hoger,"6' 2""",205,,Orthodox,28-Jun-80,1.07,0.25,2.25,0.57,0.43,1.12,0.38,0.29,0.71,1.3
Brian Bowles,"5' 7""",135,70,Orthodox,22-Jun-80,2.36,0.26,2.98,0.64,0.36,1.39,0.70,0.54,0.46,1.4
Claude Patrick,"5' 11""",170,75,Orthodox,14-Jun-80,1.8,0.55,0.89,0.69,0.31,2.32,0.53,0.84,0.16,1.7
Jason Dent,"5' 10""",155,71,Orthodox,12-Jun-80,2.01,0.39,3.7,0.62,0.38,0,0.00,0.26,0.74,1.4
Bendy Casimir,"5' 5""",145,,Southpaw,10-Jun-80,0.74,0.27,3.42,0.54,0.46,0,0.00,1.00,0.00,0
Daisuke Nakamura,"5' 7""",154,,Orthodox,10-Jun-80,0.94,0.30,1.38,0.61,0.39,0.46,0.40,0.30,0.70,3.6
Akitoshi Tamura,"5' 9""",135,70,Orthodox,31-May-80,3.73,0.43,1.94,0.78,0.22,0,0.00,0.20,0.80,1
Alex Serdyukov,"6' 2""",170,74,Orthodox,24-May-80,4.94,0.48,3.1,0.46,0.54,1.84,0.55,0.67,0.33,1.8
Murilo Rua,"5' 11""",185,,Orthodox,22-May-80,2.48,0.45,1.85,0.53,0.47,1.97,0.45,0.37,0.63,1.2
Alistair Overeem,"6' 4""",265,80,Orthodox,17-May-80,3.67,0.64,2.44,0.57,0.43,1.42,0.55,0.73,0.27,0.8
Damian Grabowski,"6' 1""",241,75,Orthodox,12-May-80,4,0.36,7.65,0.51,0.49,0,0.00,0.00,1.00,0
Rob Yundt,"6' 1""",185,,Orthodox,5-May-80,1.37,0.41,2.55,0.31,0.69,2.94,1.00,0.00,1.00,0
Gary Padilla,"5' 11""",205,,,4-May-80,2.2,0.27,2,0.76,0.24,0,0.00,0.50,0.50,0
Luke Cummo,"6' 0""",170,74,Orthodox,27-Apr-80,1.74,0.43,1.5,0.59,0.41,0.89,0.55,0.42,0.58,1.4
Derek Downey,"6' 1""",185,,Orthodox,27-Apr-80,0.32,1.00,3.36,0.12,0.88,2.4,0.16,0.00,1.00,0
Josh Bryant,"5' 10""",185,,Orthodox,23-Apr-80,1.1,0.20,6.1,0.43,0.57,0,0.00,0.00,1.00,0
Greg McIntyre,"5' 10""",155,,Orthodox,21-Apr-80,0.79,0.30,1.36,0.41,0.59,5.09,0.50,0.00,1.00,0
Justin Levens,"5' 11""",185,,Orthodox,18-Apr-80,1.24,0.47,3.15,0.37,0.63,1.69,0.50,0.33,0.67,5.1
Rafael Cavalcante,"6' 1""",205,74,Orthodox,14-Apr-80,2.71,0.53,3.62,0.49,0.51,0.6,0.40,0.63,0.37,0.1
Anthony Hamilton,"6' 5""",260,76,Orthodox,14-Apr-80,3.91,0.65,3.02,0.45,0.55,2.62,0.42,0.78,0.22,0
Joshua Burkman,"5' 10""",170,72,Orthodox,10-Apr-80,2.69,0.43,3.13,0.51,0.49,2.53,0.36,0.72,0.28,0.3
Yuya Shirai,"5' 8""",168,,Orthodox,2-Apr-80,1.02,1.00,4.07,0.55,0.45,0,0.00,0.00,1.00,0
Mike Kyle,"6' 4""",205,77,Orthodox,31-Mar-80,3.93,0.51,3.35,0.49,0.51,1.33,0.62,0.50,0.50,0.8
Bibiano Fernandes,"5' 7""",139,,Orthodox,30-Mar-80,2.91,0.40,2.02,0.72,0.28,3.97,0.53,0.77,0.23,0.6
Bojan Mihajlovic,"5' 11""",205,73,Orthodox,30-Mar-80,1.23,0.35,5.95,0.47,0.53,0,0.00,0.33,0.67,0
Nick Penner,"6' 4""",205,,Southpaw,26-Mar-80,1.25,0.30,4.6,0.38,0.62,0,0.00,0.40,0.60,0
Takeshi Inoue,"5' 8""",145,,,18-Mar-80,2.54,0.44,3.32,0.61,0.39,0,0.00,0.47,0.53,0
Kyle Noke,"6' 1""",170,76,Southpaw,18-Mar-80,3.23,0.50,2.09,0.64,0.36,1.53,0.54,0.66,0.34,0.8
Fabio Maldonado,"6' 1""",205,75,Orthodox,17-Mar-80,5.29,0.58,4.31,0.53,0.47,0.44,0.57,0.61,0.39,0.6
Icho Larenas,"6' 3""",235,,Orthodox,12-Mar-80,0.17,0.15,2.5,0.28,0.72,0,0.00,0.14,0.86,0
Fernando Bettega,,170,,,10-Mar-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Dave Zitanick,,170,,,5-Mar-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Kevin Burns,"5' 10""",170,74,Orthodox,3-Mar-80,2.74,0.38,4.3,0.52,0.48,0.28,0.50,0.47,0.53,0.8
Anthony Njokuani,"6' 1""",155,75,Orthodox,1-Mar-80,3.94,0.46,2.41,0.65,0.35,0.5,0.45,0.53,0.47,0.2
Patrick Cote,"5' 11""",170,75,Orthodox,29-Feb-80,2.81,0.48,3.21,0.48,0.52,0.68,0.20,0.43,0.57,0.2
Francimar Barroso,"6' 1""",205,75,Orthodox,28-Feb-80,2.77,0.52,3.07,0.59,0.41,2.22,0.24,0.83,0.17,0
Mauricio Alonso,"6' 2""",170,,,27-Feb-80,5.74,0.34,1.91,0.67,0.33,0,0.00,0.00,1.00,0
Rousimar Palhares,"5' 8""",170,71,Orthodox,26-Feb-80,1.75,0.51,2.04,0.59,0.41,3.93,0.45,0.00,1.00,4.1
Rob Sinclair,"5' 8""",155,,,20-Feb-80,1.2,0.33,1.73,0.73,0.27,0,0.00,0.50,0.50,0
Chad Leonhardt,"6' 0""",170,,,19-Feb-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Jimi Manuwa,"6' 1""",205,79,Orthodox,18-Feb-80,3.43,0.54,3.97,0.49,0.51,0.53,0.18,0.70,0.30,0.4
Ross Pointon,"5' 8""",170,,Orthodox,18-Feb-80,2.62,0.23,2.77,0.58,0.42,1.19,1.00,0.00,1.00,0
Anthony Lapsley,"5' 9""",170,,Southpaw,13-Feb-80,0.53,0.34,0.58,0.66,0.34,0,0.00,0.20,0.80,0
Jon Madsen,"6' 0""",240,72,Orthodox,12-Feb-80,2.46,0.41,1.18,0.81,0.19,1.32,0.71,0.70,0.30,0
Johnny Cisneros,"5' 11""",170,,,5-Feb-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Leonardo Santos,"6' 0""",155,75,Orthodox,5-Feb-80,2.65,0.44,2.77,0.58,0.42,1.07,0.29,0.89,0.11,0.3
Igor Gracie,"5' 11""",170,,,4-Feb-80,1.86,0.60,0.99,0.50,0.50,3.72,0.50,0.00,1.00,3.7
Satoru Kitaoka,"5' 6""",154,,,4-Feb-80,0.68,0.33,2.15,0.45,0.55,0.62,0.10,0.27,0.73,2.1
Rodrigo Damm,"5' 7""",155,71,Orthodox,3-Feb-80,3.5,0.36,5.61,0.57,0.43,0.44,0.16,0.80,0.20,0.3
Denis Stojnic,"6' 0""",245,,Orthodox,2-Feb-80,1.51,0.23,6.06,0.36,0.64,0,0.00,0.80,0.20,1
Troy Mandaloniz,"5' 9""",170,,Orthodox,1-Feb-80,3.52,0.56,4.71,0.63,0.37,3.1,0.66,0.57,0.43,0
Jorge de Oliveira,"5' 8""",155,,Orthodox,22-Jan-80,1.26,0.31,4.84,0.48,0.52,0,0.00,0.22,0.78,0
Jose Santibanez,,155,,,18-Jan-80,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Ryan McGivern,"6' 0""",185,,Orthodox,17-Jan-80,2.22,0.29,2.22,0.57,0.43,0,0.00,0.00,1.00,0
Dave Phillips,"6' 0""",185,,Orthodox,12-Jan-80,0,0.00,2,0.25,0.75,0,0.00,0.00,1.00,10
Justin McElfresh,"6' 6""",205,,Orthodox,4-Jan-80,4.59,0.26,12.79,0.41,0.59,0,0.00,0.00,1.00,0
Donny Walker,"5' 9""",135,,,4-Jan-80,1.81,0.37,3.85,0.46,0.54,0,0.00,0.57,0.43,1.7
Mac Danzig,"5' 8""",155,70,Orthodox,2-Jan-80,3.39,0.48,3.44,0.57,0.43,1.2,0.37,0.46,0.54,0.6
Oli Thompson,"6' 1""",242,,Orthodox,2-Jan-80,1.66,0.46,5.31,0.46,0.54,0,0.00,0.50,0.50,0.5
Jason Ireland,"5' 9""",161,,Southpaw,30-Dec-79,1.2,0.25,2.07,0.51,0.49,3.59,0.75,0.00,1.00,1.2
Guido Cannetti,"5' 6""",135,68,Southpaw,19-Dec-79,2.85,0.51,2.17,0.50,0.50,2.64,0.50,0.75,0.25,0.3
David Loiseau,"6' 0""",185,76,Orthodox,17-Dec-79,1.59,0.44,3.64,0.43,0.57,0.43,0.42,0.36,0.64,0.1
Peggy Morgan,"6' 1""",135,,,16-Dec-79,2.27,0.23,8.2,0.33,0.67,0,0.00,0.50,0.50,0
Paul Taylor,"6' 0""",155,72,Orthodox,15-Dec-79,4.44,0.47,4.47,0.55,0.45,0.27,0.25,0.56,0.44,0.5
Drew Fickett,"5' 10""",155,70,Orthodox,14-Dec-79,2.33,0.41,2.29,0.57,0.43,1.3,0.35,0.30,0.70,2.2
