"","ice_ice_baby"
"141",-6.74173976347189
"142",-7.32603160203095
"143",-7.50200603702138
"144",-6.74916022810076
"145",-7.83248002165298
"146",-6.54126729984939
"147",-6.46104718895658
"148",-8.47058414264275
"149",-9.73459000597386
"150",-11.7346899743071
"151",-10.1421131525516
"152",-10.5718833309304
"153",-10.5437635566403
"154",-9.96803870485989
"155",-9.19665907049812
"156",-10.0777746313746
"157",-9.59150528658358
"158",-8.45885410465002
"159",-9.98904779463464
"160",-8.03825283315689
"161",-8.86683566975659
"162",-8.29104299974059
"163",-9.62921069827584
"164",-8.52408449372897
"165",-5.12460522141847
"166",-7.16720045350884
"167",-7.50244182417748
"168",-7.75452820707127
"169",-7.05277007160322
"170",-5.10581899127104
"171",-5.01930391936235
"172",-4.83974404822021
"173",-7.1198792710041
"174",-8.58784113227914
"175",-10.6989115586737
"176",-10.3707133513272
"177",-12.5403339040974
"178",-11.0452393088553
"179",-9.74824812951782
"180",-9.81177815465364
"181",-10.5390125395589
"182",-9.69485488157898
"183",-8.73012265853184
"184",-9.27414324555792
"185",-7.78092204002724
"186",-8.55450271355536
"187",-7.0128263985489
"188",-8.41642398883299
"189",-7.06211395233103
"190",-6.61572205222483
"191",-7.23306701726757
"192",-6.88868481910944
"193",-6.61723256197209
"194",-6.84641289543841
"195",-8.03535298078951
"196",-5.71060807732531
"197",-5.6749887268459
"198",-5.26116538965262
"199",-7.05789452913291
"200",-9.64809836206606
"201",-11.4531409989705
"202",-13.6000084865643
"203",-9.77284827384236
"204",-10.3572853433556
"205",-10.3698455341718
"206",-10.8250800986711
"207",-11.3233004610926
"208",-10.9173087251173
"209",-8.43885147981357
"210",-7.8992434884975
"211",-8.96227757426021
"212",-7.73927531386004
"213",-7.95509202470563
"214",-8.17321788062498
"215",-7.93054700070865
"216",-7.47150770002668
"217",-7.69047206637803
"218",-6.68034610817677
"219",-7.69635930737074
"220",-7.35745513285615
"221",-6.86861157963146
"222",-6.93163056715671
"223",-5.78605410908234
"224",-5.4858929941407
"225",-9.50926920842683
"226",-9.78941770503181
"227",-11.7880416397498
"228",-11.1292925574918
"229",-10.4601848038847
"230",-9.2346147981541
"231",-9.84562987788418
"232",-10.2412622428292
"233",-9.93146161227829
"234",-9.98327598355072
"235",-8.41295158430873
"236",-7.65435165270179
"237",-7.79526415560185
"238",-7.23085247327307
"239",-7.02956328466127
"240",-7.3565552202222
"241",-5.86883487936776
"242",-7.32564059624546
"243",-6.3285169188152
"244",-6.53502848051341
"245",-5.10626886604891
"246",-6.12948500749333
"247",-6.58103307628404
"248",-5.62201936102668
"249",-5.68719783300058
"250",-5.48595749692528
"251",-7.64017624763427
"252",-11.5114243549476
"253",-13.7279675670124
"254",-12.3228483912241
"255",-10.5785288446504
"256",-10.0456935005599
"257",-9.55085329455709
"258",-10.4246855445231
"259",-8.64251245318089
"260",-8.89909112013484
"261",-7.08485272967931
"262",-8.48721230981203
"263",-6.84122140097403
"264",-7.20892177383978
"265",-7.40196017416121
"266",-8.64367905714915
"267",-6.20512178795128
"268",-6.45957545522834
"269",-5.72230835727582
"270",-7.11124300753561
"271",-6.98848661555091
"272",-7.96009882947767
"273",-6.25585475118126
"274",-5.31064017870822
"275",-6.31582531767579
"276",-8.21575766096756
"277",-11.3572425864457
"278",-12.9720940267824
"279",-10.9091668414793
"280",-11.7059835170686
"281",-10.2072782384037
"282",-8.86887038867628
"283",-9.83334293330182
"284",-9.11630224449605
"285",-9.27246392396529
"286",-7.75509890031496
"287",-7.8515100002762
"288",-7.49929870832512
"289",-8.202875910772
"290",-7.62534336324147
