ID,Course,Age,Dept,Treatment,Score,,
795061812,33209,19,BUSN,Instructor Incentives,0,,
930993187,44018,28,COMM,Control,58,,
696718646,20066,19,MATH,Control,90,,
752202779,47148,17,BUSN,Instructor Incentives,0,,
253660047,44099,19,ENGL,Control,80,,
422433288,20067,19,MATH,Control,87,,
772888826,35167,54,ENGL,Instructor Incentives,0,,
533648094,33905,19,PSYC,Control,80,,
393090602,35178,18,ENGL,Instructor Incentives,0,,
776254747,20091,19,ENGL,Control,96,,
756124372,34954,19,MATH,Control,63,,
252419779,35767,28,SDEV,Control,85,,
534482681,34526,19,ENGL,Instructor Incentives,48,,
913689242,42029,18,COMM,Control,48,,
183886914,44206,19,APHY,Control,55,,
537126068,44062,22,ENGL,Control,64,,
871111588,34609,24,APHY,Control,56,,
733554878,36678,22,COMM,Control,0,,
443051703,46931,26,NRSG,Instructor Incentives,72,,
653649898,34990,19,MATH,Instructor Incentives,0,,
818060134,34159,41,ACCT,Instructor Incentives,57,,
250683427,35106,30,HLHS,Instructor Incentives,71,,
426591956,35197,19,PSYC,Instructor Incentives,74,,
553031944,20081,19,SOCI,Control,0,,
518558916,33559,21,MATH,Control,80,,
727637436,44041,26,MATH,Control,0,,
601667322,33554,19,MATH,Control,0,,
679268836,44008,25,SOCI,Control,0,,
288728922,34617,20,APHY,Control,84,,
867515302,20091,60,ENGL,Control,92,,
424841542,42060,25,ENGL,Instructor Incentives,0,,
125450969,34690,22,BUSN,Control,52,,
711215972,34506,20,ENGL,Control,0,,
470400927,44327,64,PSYC,Control,78,,
217679607,44041,37,MATH,Control,57,,
125720340,34665,19,COMM,Instructor Incentives,90,,
608164261,20245,19,PSYC,Instructor Incentives,0,,
935479714,44213,22,APHY,Control,0,,
635675793,34475,25,ENGL,Control,0,,
288633721,38591,39,ENGL,Control,0,,
917371798,46182,33,PSYC,Control,82,,
895509098,34990,19,MATH,Instructor Incentives,80,,
835293324,42029,17,COMM,Control,62,,
861174243,34630,34,APHY,Control,54,,
565475323,33539,19,ENGL,Control,96,,
773784680,35401,30,MATH,Instructor Incentives,80,,
420868294,46182,21,PSYC,Control,38,,
334819621,35800,39,CRIM,Instructor Incentives,88,,
927523063,34609,32,APHY,Control,40,,
323624471,36684,19,ENGL,Instructor Incentives,0,,
300898864,20106,20,PSYC,Instructor Incentives,0,,
238499666,42158,21,APHY,Control,67,,
701328595,46250,20,HLHS,Control,57,,
623346098,20067,19,MATH,Control,53,,
702541971,42060,22,ENGL,Instructor Incentives,0,,
406373858,46457,34,ACCT,Instructor Incentives,52,,
367504266,44237,33,APHY,Control,69,,
700918477,30517,40,BIOL,Control,76,,
575785701,35182,30,PSYC,Control,66,,
106861153,44347,29,ENGL,Control,0,,
499454861,44704,22,ENGL,Control,0,,
611406108,20081,18,SOCI,Control,78,,
667578209,34954,50,MATH,Control,23,,
180189195,20134,19,MATH,Instructor Incentives,40,,
140046691,34303,19,PSYC,Instructor Incentives,0,,
246650757,38591,20,ENGL,Control,84,,
595637571,44240,23,ENGL,Control,0,,
241512451,35545,26,ACCT,Instructor Incentives,52,,
872435252,34509,19,ENGL,Instructor Incentives,0,,
839052032,34890,22,MATH,Instructor Incentives,50,,
629420177,34300,20,PSYC,Instructor Incentives,48,,
317303663,45268,18,BUSN,Instructor Incentives,0,,
886120222,20085,22,COMM,Control,38,,
340588077,38591,26,ENGL,Control,0,,
823202365,34159,36,ACCT,Instructor Incentives,0,,
996884516,35737,40,HLHS,Control,80,,
473538637,35104,35,HLHS,Instructor Incentives,94,,
858599775,34110,21,ACCT,Instructor Incentives,60,,
306942520,34887,20,MATH,Control,0,,
394839527,35251,30,NRSG,Instructor Incentives,95,,
942150452,44237,23,APHY,Control,53,,
125194661,20244,19,PSYC,Instructor Incentives,0,,
767800699,33914,19,SOCI,Control,60,,
740724841,20128,18,ARTH,Control,59,,
468688389,20067,35,MATH,Control,77,,
754754338,44265,34,MATH,Control,47,,
265667680,44704,42,ENGL,Control,92,,
681053582,45688,22,HLHS,Instructor Incentives,92,,
850381206,44325,21,SOCI,Control,67,,
877069737,34609,25,APHY,Control,44,,
874518460,35973,29,BUSN,Instructor Incentives,70,,
424981336,44265,20,MATH,Control,0,,
378446974,35767,21,SDEV,Control,91,,
140976585,34305,20,ARTH,Control,73,,
341290702,34518,23,BUSN,Control,0,,
649552808,34303,42,PSYC,Instructor Incentives,88,,
651541368,34110,38,ACCT,Instructor Incentives,91,,
696398054,20105,19,PSYC,Instructor Incentives,86,,
750126743,44049,26,MATH,Control,70,,
659984455,35991,27,BUSN,Instructor Incentives,59,,
404134827,36675,19,COMM,Control,52,,
506850141,45176,34,ACCT,Control,79,,
425835534,42787,19,MATH,Control,0,,
277173370,42031,19,COMM,Control,0,,
733392650,42028,24,COMM,Instructor Incentives,82,,
214864694,46702,22,SOCI,Control,89,,
533648094,20055,19,ENGL,Instructor Incentives,68,,
934767342,44079,25,MATH,Control,0,,
938351424,40167,18,ENGL,Instructor Incentives,80,,
183886914,34664,19,COMM,Control,44,,
297594762,35081,19,HLHS,Control,83,,
719025302,45949,19,HLHS,Control,89,,
562867099,35973,19,BUSN,Instructor Incentives,0,,
907193851,35172,20,ENGL,Instructor Incentives,96,,
612877474,44327,24,PSYC,Control,78,,
676407232,33206,22,BUSN,Instructor Incentives,78,,
674001398,20129,18,BIOL,Control,47,,
934492019,33582,19,SOCI,Control,76,,
760877635,39418,19,HLHS,Control,84,,
467425469,34606,19,APHY,Control,58,,
951920625,35160,42,ENGL,Instructor Incentives,80,,
683844736,42031,19,COMM,Control,0,,
652741245,44008,36,SOCI,Control,56,,
290723347,35167,19,ENGL,Instructor Incentives,0,,
805409296,34606,19,APHY,Control,47,,
389898733,34650,23,SCIN,Instructor Incentives,66,,
554121779,20081,19,SOCI,Control,0,,
288370578,44347,19,ENGL,Control,64,,
151220451,34110,43,ACCT,Instructor Incentives,78,,
682047959,20053,20,ENGL,Instructor Incentives,88,,
323757594,46455,19,ACCT,Instructor Incentives,81,,
760935346,36669,18,COMM,Control,40,,
747262627,42784,21,MATH,Control,0,,
673017273,35492,44,APHY,Instructor Incentives,36,,
140298369,32702,27,ACCT,Control,66,,
315021397,44347,24,ENGL,Control,84,,
611906340,33386,18,ENGL,Control,0,,
780507120,34523,19,ENGL,Instructor Incentives,76,,
882268762,34680,20,BUSN,Control,85,,
880587076,42037,20,COMM,Instructor Incentives,48,,
146448722,34523,19,ENGL,Instructor Incentives,76,,
979941962,34665,19,COMM,Instructor Incentives,94,,
424481798,35489,20,APHY,Instructor Incentives,69,,
299895157,35545,29,ACCT,Instructor Incentives,0,,
353455746,35168,44,ENGL,Instructor Incentives,0,,
820260648,34663,22,COMM,Control,50,,
578160424,46897,18,PSYC,Instructor Incentives,54,,
654026558,36669,22,COMM,Control,0,,
573495333,34591,28,APHY,Instructor Incentives,67,,
895056388,32136,18,COMM,Instructor Incentives,88,,
999852916,39671,20,ARTH,Control,0,,
923054476,35003,19,MATH,Instructor Incentives,73,,
358823970,35973,26,BUSN,Instructor Incentives,0,,
315021397,42893,24,MATH,Instructor Incentives,87,,
889528149,34303,18,PSYC,Instructor Incentives,0,,
331389206,52274,42,APHY,Control,79,,
800659272,42491,21,APHY,Instructor Incentives,69,,
735944904,34630,29,APHY,Control,79,,
241908447,34599,19,ENGL,Instructor Incentives,0,,
134078862,44237,21,APHY,Control,88,,
919019449,34627,21,APHY,Control,0,,
606326667,38591,20,ENGL,Control,0,,
806286497,45948,54,HLHS,Control,0,,
286419497,34475,19,ENGL,Control,84,,
586971543,34627,23,APHY,Control,0,,
669334380,35401,22,MATH,Instructor Incentives,60,,
231399081,20087,20,COMM,Instructor Incentives,56,,
330878429,36677,19,COMM,Instructor Incentives,84,,
500364516,35003,18,MATH,Instructor Incentives,93,,
327092711,35182,19,PSYC,Control,44,,
665685000,45688,22,HLHS,Instructor Incentives,52,,
855961903,20055,23,ENGL,Instructor Incentives,80,,
504654112,34526,34,ENGL,Instructor Incentives,0,,
888752634,36969,29,NRSG,Control,78,,
694172204,34664,19,COMM,Control,64,,
768835338,34617,25,APHY,Control,92,,
336689479,47184,21,BUSN,Control,91,,
994360778,20134,21,MATH,Instructor Incentives,57,,
470594595,20245,36,PSYC,Instructor Incentives,0,,
462982467,35104,21,HLHS,Instructor Incentives,96,,
214517957,35161,19,ENGL,Control,80,,
332389925,36685,19,ENGL,Instructor Incentives,80,,
992250841,34617,19,APHY,Control,0,,
913689242,44198,18,APHY,Control,45,,
858431775,43005,19,ARTH,Control,0,,
149264784,33374,19,ARTH,Control,77,,
377485497,34602,19,BOAT,Instructor Incentives,0,,
195938040,45085,23,ENGL,Control,80,,
420821075,46710,30,SOCI,Control,80,,
483740645,35050,19,APHY,Instructor Incentives,93,,
754141919,20055,19,ENGL,Instructor Incentives,60,,
532927146,36055,20,ENGL,Control,72,,
860125392,35737,23,HLHS,Control,79,,
241025589,34506,25,ENGL,Control,72,,
949820617,33539,23,ENGL,Control,96,,
611406108,43005,18,ARTH,Control,59,,
649896785,33541,21,ENGL,Control,0,,
988461752,42031,35,COMM,Control,76,,
198570982,35104,18,HLHS,Instructor Incentives,76,,
496084047,35169,19,ENGL,Instructor Incentives,0,,
818009836,34890,18,MATH,Instructor Incentives,0,,
706511999,34531,39,BOAT,Instructor Incentives,39,,
322433238,49596,32,NRSG,Control,88,,
776406810,20087,29,COMM,Instructor Incentives,62,,
778463019,33209,19,BUSN,Instructor Incentives,66,,
208991252,44032,19,COMM,Control,0,,
580281603,44018,42,COMM,Control,0,,
398678152,42068,23,ENGL,Control,52,,
849891056,46897,19,PSYC,Instructor Incentives,78,,
527374572,35005,20,MATH,Control,93,,
151101303,45949,20,HLHS,Control,54,,
561170291,46256,19,HLHS,Instructor Incentives,0,,
688380606,36065,19,ENGL,Instructor Incentives,0,,
642433870,37094,19,BUSN,Instructor Incentives,0,,
882961060,44327,20,PSYC,Control,58,,
970181979,35172,29,ENGL,Instructor Incentives,100,,
766865151,34693,24,ENGL,Instructor Incentives,0,,
261030366,52274,20,APHY,Control,0,,
967981834,34602,51,BOAT,Instructor Incentives,77,,
134078862,34617,21,APHY,Control,94,,
609603872,40166,17,ENGL,Instructor Incentives,96,,
736894336,44018,46,COMM,Control,0,,
580281603,36675,42,COMM,Control,0,,
608164261,44030,19,MATH,Instructor Incentives,0,,
409589988,30495,22,APHY,Control,87,,
398575989,34606,20,APHY,Control,56,,
130329714,35081,22,HLHS,Control,73,,
268806187,33914,28,SOCI,Control,58,,
216912388,34887,56,MATH,Control,0,,
810345858,34305,21,ARTH,Control,0,,
583976506,35394,18,MATH,Instructor Incentives,0,,
677354389,46702,19,SOCI,Control,78,,
753087382,46474,20,BUSN,Instructor Incentives,81,,
227919994,45066,19,COMM,Instructor Incentives,90,,
866259787,46780,23,CRIM,Control,0,,
895509098,20112,19,SOCI,Control,84,,
621077611,34990,34,MATH,Instructor Incentives,87,,
372627089,20081,29,SOCI,Control,82,,
295183120,46897,19,PSYC,Instructor Incentives,58,,
931796228,20086,18,COMM,Instructor Incentives,96,,
880587076,44213,20,APHY,Control,78,,
360018830,44014,30,COMM,Control,56,,
136324482,34990,36,MATH,Instructor Incentives,70,,
210224216,44213,19,APHY,Control,52,,
773225465,32134,18,COMM,Instructor Incentives,74,,
412073114,34509,20,ENGL,Instructor Incentives,0,,
695537040,34625,30,APHY,Control,56,,
762597651,34663,42,COMM,Control,64,,
355756406,34300,19,PSYC,Instructor Incentives,52,,
305452856,34625,28,APHY,Control,72,,
163260896,30517,23,BIOL,Control,0,,
801092583,35745,19,HLHS,Control,67,,
600453388,36677,20,COMM,Instructor Incentives,80,,
410442166,33580,35,SOCI,Control,84,,
406083958,46586,19,PSYC,Instructor Incentives,0,,
172588930,20087,20,COMM,Instructor Incentives,0,,
817885730,34668,18,COMM,Instructor Incentives,60,,
885785775,35050,30,APHY,Instructor Incentives,58,,
610669946,20091,19,ENGL,Control,88,,
616674603,20066,19,MATH,Control,60,,
592988370,23096,22,SDEV,Control,83,,
336474570,20134,18,MATH,Instructor Incentives,0,,
826709104,34680,29,BUSN,Control,82,,
524897390,34523,18,ENGL,Instructor Incentives,64,,
579776173,35094,50,COMM,Instructor Incentives,86,,
939811276,35169,19,ENGL,Instructor Incentives,64,,
538443557,42028,22,COMM,Instructor Incentives,90,,
162312744,42166,20,APHY,Instructor Incentives,0,,
782933072,20238,52,MATH,Control,90,,
420393639,34602,20,BOAT,Instructor Incentives,74,,
499306555,35178,18,ENGL,Instructor Incentives,0,,
362270238,44019,24,COMM,Control,60,,
893395657,34690,19,BUSN,Control,0,,
189842430,36067,59,ENGL,Control,0,,
931820379,30517,33,BIOL,Control,0,,
826105888,20098,25,MATH,Instructor Incentives,80,,
