"","under_pressure"
"99",-13.3688718904789
"100",-11.5986513434314
"101",-11.5786546490911
"102",-13.8030475080524
"103",-14.4647324953038
"104",-14.9463042040556
"105",-14.0736173343497
"106",-12.6496618156288
"107",-11.7602125943707
"108",-11.9991663225276
"109",-9.85298101110315
"110",-9.21336048412719
"111",-9.49934780645431
"112",-8.66850582254171
"113",-3.04864691710223
"114",0.795603039649113
"115",0.435330747243474
"116",1.56209521776296
"117",3.72810805261875
"118",2.92080267054165
"119",4.10020096154742
"120",5.08746505424833
"121",4.55494975024239
"122",5.90819443058302
"123",4.41897880624585
"124",5.46573533343665
"125",4.3629737837773
"126",3.32304169309381
"127",3.59248888532799
"128",3.63269953060707
"129",4.36405020473968
"130",4.29300547607432
"131",5.05013756069458
"132",5.50258101442914
"133",6.22981136684446
"134",5.19128016140791
"135",5.13784746586343
"136",5.13816871839733
"137",5.30118259061798
"138",2.43353702205294
"139",1.17235600332467
"140",2.78037719120561
"141",6.12354939482178
"142",9.77483767000114
"143",9.87065749581068
"144",9.47858335802772
"145",9.10046679031543
"146",9.40907506585728
"147",9.22237550700899
"148",9.31441929861005
"149",10.1369053102468
"150",8.69673685747275
"151",9.22362168985834
"152",7.88581672285595
"153",8.82274503786785
"154",8.53071699541285
"155",8.22001532284977
"156",8.0188920968714
"157",8.57436162516438
"158",8.87734461374792
"159",9.97039327978028
"160",9.85536075288405
"161",10.3039061173417
"162",9.90897358756752
"163",9.78012916719076
"164",6.74231020333324
"165",1.41674698310734
"166",-1.25742880952886
"167",-4.75581278723205
"168",-5.64280121528896
"169",-5.86702014392159
"170",-5.11932930286312
"171",-4.87109479845867
"172",-4.97203586026544
"173",-2.73879560851276
"174",-2.74440289100091
"175",-4.35430612674107
"176",-3.1802724640839
"177",-0.805668762903955
"178",-2.38353106490919
"179",-1.16775182965409
"180",-2.28340088624525
"181",-0.984040414368916
"182",-0.0603412012886347
"183",1.036918720554
"184",1.07848717206276
"185",2.12598339293413
"186",2.66747547745179
"187",3.17045559814533
"188",3.17947267775527
"189",3.67348485327063
"190",3.69841261461855
"191",0.353754972512258
"192",-2.04452550797303
"193",1.29682726673404
"194",4.73907769161258
"195",7.2651670834383
"196",7.26382369365233
"197",7.16516137437337
"198",3.3248223517499
"199",2.81524498132135
"200",1.14187611194167
"201",-1.78160062116047
"202",-1.53939166050224
"203",-2.24745564735567
"204",-1.81194363537808
"205",2.1141709247221
"206",4.51713195777868
"207",10.1008465915283
"208",10.1402159716335
"209",10.0649112237464
"210",8.47388420531706
"211",8.11354059203078
"212",8.24089018994787
"213",7.86928179315889
"214",7.73012211567542
"215",8.48523353306331
"216",3.64536619793309
"217",3.82988198450831
"218",3.67773986667955
"219",6.14651630214712
"220",7.70495913928458
"221",8.5060631664284
"222",8.75870063945369
"223",9.53253122825525
"224",8.84739599101822
"225",8.53040440953675
"226",8.68557135321808
"227",8.70220112361498
"228",8.92472387735888
"229",9.36746475865772
"230",9.65852638285421
"231",10.7881108006251
"232",9.7376442760151
"233",10.5056804641379
"234",11.0049493622266
"235",10.6107530510066
"236",10.5064264575214
"237",11.7444121643289
"238",12.0502160632263
"239",11.6207530931683
"240",9.83491750083896
"241",9.83756898560392
"242",8.66375026965616
"243",2.79590816655123
"244",4.62660440519986
"245",11.8567084698159
"246",8.87950718731353
"247",7.64660147759899
"248",7.61489004151301
"249",8.02560424831677
"250",9.26717565797378
"251",10.1551272019998
"252",9.34687268476544
"253",8.76022960481823
"254",8.62087198940858
"255",8.60962525021458
"256",9.34980117236993
"257",8.78492131196937
"258",9.72721037782174
"259",10.9350562101697
"260",10.2177706880694
"261",9.51064765750972
"262",9.39131085766886
"263",9.14768448130131
"264",9.15264051015076
"265",8.41547368472716
"266",6.74767574773167
"267",0.139958175523256
"268",-8.15275039463917
"269",-15.3807509342074
"270",-14.7720220557024
"271",-15.4659485723301
"272",-18.3494731820733
"273",-18.6662319347016
"274",-16.9460184760414
"275",-15.5843651065613
